,1/N,Min-Var (LW),Risk Parity,60/40,HRP,MV Robust (Shrunk20)
2022-01-24,1.132363752648087,1.0397281730563246,1.1321264103916775,1.09681105828603,1.0598963902201632,1.0507364788162612
2022-01-25,1.130429979977433,1.0390094726192949,1.1301925855936081,1.0881927685932642,1.0588189548365996,1.0468877066992073
2022-02-02,1.133856524196053,1.0418453682649966,1.1336187769019788,1.095426778542606,1.0613452341972949,1.0523010048257544
2022-02-03,1.122261858822063,1.0365081100782196,1.1220279234669017,1.0781091744682367,1.0533459934526366,1.0462602028657941
2022-02-04,1.1232129946978724,1.0324222253228874,1.1229770301633806,1.077841271496531,1.0507461788974555,1.0476955692463166
2022-02-07,1.1238142165629816,1.0328936350814923,1.123578010210008,1.0758821599019923,1.050535086772262,1.046737223437573
2022-02-08,1.1265692469058703,1.031768957010998,1.1263312085144828,1.0798007637808014,1.051602837370262,1.0458887904716863
2022-02-09,1.1380901244212278,1.0355875456918735,1.1378477179711814,1.0898674427767945,1.0588510011755354,1.0554998763281316
2022-02-10,1.1267445537422094,1.0269832945233002,1.1265046744398979,1.074113808487837,1.0497764951758783,1.0454606432403037
2022-02-11,1.1210430236704134,1.0283628335683135,1.1208064869493586,1.065858509734278,1.046166855357401,1.0429700308596173
2022-02-14,1.1171258271599276,1.024433565675598,1.1168897202634092,1.0608141260317707,1.0410271626280065,1.039259789289688
2022-02-15,1.126479171802513,1.025117095738986,1.1262384612639358,1.069809953412616,1.0480509945565313,1.0429400169409726
2022-02-16,1.1301531872916564,1.0280880531846253,1.1299116086398473,1.0714237734059489,1.051155074810125,1.043876426063194
2022-02-17,1.1209360268332027,1.0266478334999427,1.1206990748874381,1.0599847905588886,1.045781737383145,1.0387282050853575
2022-02-18,1.1176310039654054,1.0277771190629346,1.117396129391056,1.057243252355462,1.0445246882224306,1.0384189176116694
2022-02-22,1.1116198510062858,1.0252977237972276,1.1113870010130815,1.0503977496706405,1.0394327505799463,1.0375571138843647
2022-02-23,1.1035348421205058,1.0194888430630245,1.1033040625449775,1.0370268085923533,1.0328625694814288,1.033627686641478
2022-02-24,1.099875016661014,1.018342847078677,1.0996458114332466,1.0473655506587956,1.0304881795713412,1.0316227421636017
2022-02-25,1.1141472165256363,1.0249781716576363,1.11391298626175,1.0611178195202475,1.0404869141737356,1.0450890312984864
2022-02-28,1.1112833771114887,1.0273433293496983,1.1110511730093504,1.0643128415936414,1.0389314179485125,1.0441529953519018
2022-03-01,1.1077835687258353,1.0268722314092575,1.1075528411401319,1.0587332778448548,1.0344924382719485,1.0468506452589872
2022-03-02,1.116282611227788,1.0244508250280406,1.1160456304744355,1.0640543244108245,1.0348905790544936,1.0657550261769428
2022-03-03,1.1087699063640275,1.0250010564024454,1.108536604401911,1.0627096621172918,1.0304998269482588,1.0610157765481514
2022-03-11,1.1000622547139638,1.0223098100512475,1.099832841636884,1.0544869450226368,1.0244818980116748,1.0572572677127372
2022-03-14,1.0876876923746834,1.0144685669461184,1.08746242595253,1.0445217944003942,1.0183932019023194,1.039670895621234
2022-03-15,1.0902356504321526,1.016145219992812,1.0900096994703308,1.0581123183691468,1.020897579776545,1.035021776505376
2022-03-16,1.121494221270352,1.025774586750617,1.121254595126556,1.0716080441140805,1.0405992342307795,1.0501891931661695
2022-03-17,1.131652581665653,1.0308134903735442,1.131408890911748,1.0788260326237238,1.0436526356013938,1.0725391794977994
2022-03-18,1.14078399217873,1.032755485046553,1.140535938839669,1.0871853913674614,1.0474398203108384,1.0818423264870263
2022-03-21,1.13740717898878,1.0264454422251883,1.1371583440217403,1.0813331141379179,1.042865452575139,1.093572142759809
2022-03-22,1.144385250182465,1.0264810151573482,1.1441322024946403,1.0865542992609707,1.0469277453379975,1.0966990385731132
2022-03-23,1.1417884629370463,1.0280716650877335,1.1415374978369104,1.0810813253035505,1.0436636614291133,1.1034191015031471
2022-03-24,1.1471784276698804,1.0288712820838157,1.1469249425712396,1.0884520431798113,1.0474350870035893,1.1078929423732449
2022-03-25,1.1469375162885433,1.026424924325709,1.146682964604351,1.08717299102058,1.0461749772117637,1.1133148580759513
2022-03-28,1.1439327246260256,1.0267828723169456,1.1436798896029923,1.0927967866243793,1.0457926951023884,1.1004885828011062
