date,return
2021-05-20,0.0072905097823214105
2021-05-21,-0.0012325065553878758
2021-05-24,0.01126412130808815
2021-05-25,0.00132326333903458
2021-05-26,0.00276534679886216
2021-05-27,0.0034750321117456525
2021-05-28,0.002294487477713529
2021-06-01,0.010817116875611571
2021-06-02,0.004360793621254815
2021-06-03,-0.006731909554626933
2021-06-04,0.008480876705941928
2021-06-07,0.0018990787428950484
2021-06-08,0.0023591992736163745
2021-06-09,-0.001702538776113436
2021-06-10,0.00519863809199278
2021-06-11,-0.001161986195583623
2021-06-14,0.0015182164863003797
2021-06-15,-0.004238329476820304
2021-06-16,-0.007379057817037555
2021-06-17,-0.005033542459205924
2021-06-18,-0.009270134362588604
2021-06-21,0.012334301112341461
2021-06-22,0.00024344210441936234
2021-06-23,0.0006725186032181698
