date,SPY,QQQ,IWM,EFA,VGK,VPL,EWJ,EWG,EEM,EWZ,INDA,MCHI,EWU,EZA,XLC,XLY,XLP,XLE,XLF,XLV,XLK,XLI,XLB,XLRE,XLU,USMV,MTUM,QUAL,VLUE,SIZE,VYM,SCHD,SPLV,VUG,VTV,VNQ,VNQI,O,PSA,SHY,IEI,IEF,TLT,TIP,VGSH,VGIT,AGG,MUB,LQD,HYG,VCIT,VCSH,EMB,EMLC,BNDX,GLD,SLV,PPLT,DBC,USO,UNG,DBA,CORN,UUP,IBIT,ETHA,FBTC,GBTC,ETHE
2012-11-05,0.0,0.0,0.09810381727219436,9.360674624337929e-07,-0.0,-0.0,0.08574801277231342,0.00743044855856539,-0.0,-0.0,-0.0,0.002548790547517496,0.0009678404535175816,-0.0,0.0,0.0,0.0972929038327147,0.09196090428281624,0.09356893529623582,0.012665442451144074,0.0,0.09850766759767644,0.0,0.0,0.004212543991197016,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.04530746310574376,0.0,0.004472545883680112,0.0,0.0,0.09161834657488717,0.06139824679181627,0.0,0.032842903533497586,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.06445893695733135,0.0,0.0,0.0038476749232624428,0.0058942497292046574,0.005997002204970742,0.0,0.09115438717225093,0.0,0.0,0.0,0.0,0.0
2012-12-07,-0.0,0.0,0.0974063734859949,9.690088232242987e-07,0.0,0.0,0.08749457235498562,0.0076077851180602705,0.0,0.0,0.0,0.0025449063631318614,0.0009757502437968232,0.0,0.0,0.0,0.09896204342804536,0.09073405177649366,0.09271724129983089,0.012612721103885022,-0.0,0.09847264264358695,-0.0,0.0,0.004136536216628125,0.0,0.0,0.0,0.0,0.0,-0.0,-0.0,0.0,0.0,0.04486289779490491,0.0,0.004549744008524151,0.0,0.0,0.09065194210651632,0.06095249022988737,0.0,0.03290560061809444,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.06751863091128948,0.0,0.0,0.0037837220153530125,0.005601054898217155,0.005939321612910426,0.0,0.08956900276104,0.0,0.0,0.0,0.0,0.0
2013-01-11,0.0,0.0,0.10000008025007243,1.0240003327138273e-06,0.0,0.0,0.09102175492463487,0.007862036923008346,0.0,0.0,0.0,0.0026382014330292762,0.0009900692614628508,0.0,0.0,0.0,0.09712155953346385,0.09165394861672234,0.0972944449336273,0.01279074931341836,0.0,0.10000130014170608,0.0,0.0,0.004082274599871383,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.04580778089510277,0.0,0.0046724684325788485,0.0,0.0,0.08867729833848034,0.061322526197316804,0.0,0.03218649506802351,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.06064548084180302,0.0,0.0,0.003994857829623549,0.0050311575887518134,0.005596394527843911,0.0,0.08660809634912577,0.0,0.0,0.0,0.0,0.0
2013-02-14,-0.0,-0.0,0.10000061387905038,1.033060049664001e-06,-0.0,-0.0,0.08900045308394222,0.0075976276221919456,-0.0,-0.0,-0.0,0.0025460694960368914,0.0009624524916385935,-0.0,0.0,-0.0,0.09875518331660159,0.09605747793933576,0.09863674291331373,0.012894376627977593,-0.0,0.10000003873978563,-0.0,0.0,0.004109201131191611,-0.0,0.0,0.0,0.0,0.0,-0.0,-0.0,-0.0,-0.0,0.04665838891935588,-0.0,0.004532426042612764,-0.0,-0.0,0.08624361833191672,0.0637564588586337,-0.0,0.03057039790908512,-0.0,-0.0,-0.0,-0.0,-0.0,-0.0,-0.0,-0.0,-0.0,-0.0,-0.0,0.0,-0.0,0.05886304047669361,-0.0,-0.0,0.003964286089244852,0.004640315499587663,0.005200695297808705,-0.0,0.08500910227394531,0.0,0.0,0.0,0.0,0.0
2013-03-20,-0.0,-0.0,0.100001039973487,1.0463293117314546e-06,-0.0,-0.0,0.09405529773105188,0.007509421055380083,-0.0,-0.0,-0.0,0.0023253913002428,0.000939542478259643,-0.0,0.0,-0.0,0.09999930445002907,0.093452390703264,0.09932618546374135,0.01313482164008749,-0.0,0.09997436636020557,-0.0,0.0,0.004243881841835496,-0.0,0.0,0.0,0.0,0.0,-0.0,-0.0,-0.0,-0.0,0.04702157384825552,-0.0,0.004515228583669113,-0.0,-0.0,0.08457443159319286,0.06542516744748522,-0.0,0.029820947256630134,-0.0,-0.0,-0.0,-0.0,-0.0,-0.0,-0.0,-0.0,-0.0,-0.0,-0.0,0.0,-0.0,0.05437658831540742,-0.0,-0.0,0.003144461160048444,0.00549538077727094,0.005017867821766814,-0.0,0.08564566386937746,0.0,0.0,0.0,0.0,0.0
2013-04-23,-0.0,-0.0,0.09783038932895652,1.059117893788072e-06,-0.0,-0.0,0.10000210212720348,0.007259193919977557,-0.0,-0.0,-0.0,0.0015828967795388498,0.0009481611821501235,-0.0,0.0,-0.0,0.09999946103732418,0.09077915130223142,0.09999942333062524,0.014139583732939151,-0.0,0.0977179824071785,-0.0,0.0,0.00452758989391708,-0.0,0.0,0.0,0.0,0.0,-0.0,-0.0,-0.0,-0.0,0.047930986342452984,0.0,0.004827189518824689,0.0,0.0,0.0848529552357272,0.06601929137604622,-0.0,0.031581935355794594,-0.0,-0.0,-0.0,-0.0,-0.0,-0.0,-0.0,-0.0,-0.0,-0.0,-0.0,0.0,0.0,0.04289721310521003,0.0,0.0,0.002995077245840348,0.013296431677059595,0.00492068370288449,0.0,0.08589124228022403,0.0,0.0,0.0,0.0,0.0
2013-05-24,-0.0,-0.0,0.09999974968820548,1.0806306202390096e-06,-0.0,-0.0,0.09700403667205534,0.007587293374543708,-0.0,-0.0,-0.0,0.000782034863905473,0.0009610409355213589,-0.0,0.0,-0.0,0.09803067163597998,0.09472140939510981,0.09999958164745787,0.014034692301240523,-0.0,0.10000148857980257,-0.0,0.0,0.0041972080710435825,-0.0,0.0,0.0,0.0,0.0,-0.0,-0.0,-0.0,-0.0,0.048820485628282055,0.0,0.0044778990840357,0.004684114224707499,0.0,0.08265218790850581,0.0673481982794649,-0.0,0.029381039752326577,-0.0,-0.0,-0.0,-0.0,-0.0,-0.0,-0.0,-0.0,-0.0,-0.0,-0.0,0.0,0.0,0.040540569467001436,0.0,0.0,0.003050488595655091,0.012785281065221938,0.004741885706786692,0.0,0.0841975624925264,0.0,0.0,0.0,0.0,0.0
2013-06-27,-0.0,-0.0,0.09999975540753868,1.0278112261406168e-06,-0.0,-0.0,0.09713979998410978,0.00753506463552294,-0.0,-0.0,-0.0,0.0007361741587430358,0.0009297134325769185,-0.0,0.0,-0.0,0.0970150502891338,0.09405421246271999,0.09999944232168004,0.014141906324237945,-0.0,0.10000142407737317,-0.0,0.0,0.0042104304975339735,-0.0,-0.0,0.0,-0.0,-0.0,-0.0,-0.0,-0.0,-0.0,0.049525764699634676,0.0,0.0033430403843170003,0.004112607501949918,0.0,0.08489747299672339,0.06806003225397395,-0.0,0.028409009897572977,-0.0,-0.0,-0.0,-0.0,-0.0,-0.0,-0.0,-0.0,-0.0,-0.0,-0.0,0.0,0.0,0.03424004198244544,0.0,0.0,0.010042627334754417,0.010921356035692793,0.004863971181552208,0.0,0.08582007432898697,0.0,0.0,0.0,0.0,0.0
2013-07-31,0.0,0.0,0.10000185541555333,1.0798132063853664e-06,0.0,0.0,0.09494159019344191,0.0077395311165231176,0.0,0.0,0.0,0.000747970561390401,0.0009568523040621509,0.0,0.0,0.0,0.0976497285891354,0.09568573446558033,0.09999945911305556,0.014596642779005463,0.0,0.09999969464296593,0.0,0.0,0.004273427945312058,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0502950143522863,0.0,0.003307213312138205,0.004108281616765881,0.0,0.0837785816647275,0.06622141587905545,0.0,0.027118643180824138,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.03534642923739164,0.0,0.0,0.016765874091828205,0.010105671008651177,0.004605154224414375,0.0,0.08175415449268504,0.0,0.0,0.0,0.0,0.0
2013-09-03,-0.0,-0.0,0.09834756292124472,1.0781733750585746e-06,-0.0,-0.0,0.09503153702167466,0.007655011036809918,-0.0,-0.0,-0.0,0.0007921444003551637,0.0009736812947728088,-0.0,0.0,-0.0,0.09402535103228404,0.09626805938757274,0.09651363495638283,0.01430668465264476,-0.0,0.09904818938192722,-0.0,0.0,0.004050355842125281,0.00192332365051642,-0.0,-0.0,-0.0,-0.0,-0.0,-0.0,0.0,-0.0,0.04901408301066083,-0.0,0.0032852135076114316,0.0018007853927956006,-0.0,0.08449492246878162,0.06621999672601293,-0.0,0.02661102168691677,-0.0,-0.0,-0.0,-0.0,-0.0,-0.0,-0.0,-0.0,-0.0,-0.0,-0.0,-0.0,-0.0,0.043405657307432684,-0.0,-0.0,0.017541266152205137,0.01076518043667165,0.004740356414086861,-0.0,0.08318490314513871,0.0,0.0,0.0,0.0,0.0
