train_start,train_end,test_start,test_end,total_return,annualized_return,annualized_volatility,sharpe_ratio,max_drawdown,cumulative_nav,turnover,cost_fraction
2013-12-09,2014-12-08,2014-12-11,2015-01-12,-0.004208913856509455,-0.04935402825126134,0.11485908468437013,-0.3833054375320716,-0.027799714779145446,0.9957910861434905,0.0037145859187599525,7.424623779871916e-06
2014-01-13,2015-01-12,2015-01-15,2015-02-13,0.027908363009242487,0.3914025458602335,0.0883867235334526,3.783744817440539,-0.019998201697830176,1.0279083630092425,0.0023037722480996436,4.60171779457914e-06
2014-02-14,2015-02-13,2015-02-19,2015-03-19,0.0010795660812212837,0.013031991003877419,0.0781282003337648,0.20479275897567514,-0.02263253173289248,1.0010795660812213,0.006155609373902112,1.2304237464053711e-05
2014-03-20,2015-03-19,2015-03-24,2015-04-22,0.0035530018115692563,0.043479140858023735,0.06255515904851874,0.7117266692606176,-0.010665479665295297,1.0035530018115693,4.058000033770657e-06,3.8827691651350393e-13
2014-04-23,2015-04-22,2015-04-27,2015-05-26,-0.006101643280596036,-0.07081183274976466,0.078094847836108,-0.9012742630483588,-0.015057578004241123,0.993898356719404,0.003251788244651333,6.493023233136871e-06
2014-05-27,2015-05-26,2015-05-29,2015-06-26,-0.008068500531039913,-0.09263884739624717,0.057715968277083037,-1.6552046477493718,-0.012746587868184722,0.9919314994689601,5.874378945047025e-06,3.9519840066436917e-13
2014-06-27,2015-06-26,2015-07-01,2015-07-30,0.005887767298853319,0.07298665404845317,0.08437962330641721,0.8772511432764398,-0.023278731556099386,1.0058877672988533,5.0028720968760815e-06,4.102852061704517e-13
2014-07-31,2015-07-30,2015-08-04,2015-09-01,-0.06278170808916328,-0.5407077949028363,0.18147175607080562,-4.189744866346973,-0.08042199360783664,0.9372182919108367,0.003099584932716092,6.190732022922338e-06
2014-09-03,2015-09-01,2015-09-04,2015-10-05,0.010325148153631059,0.13118583606411427,0.13181989058105054,1.0012527549467938,-0.03439074637938766,1.010325148153631,4.023054793724473e-06,3.5732999261061505e-13
2014-10-06,2015-10-05,2015-10-08,2015-11-05,0.02063517494188538,0.2777514432748076,0.08378650422015259,2.968476683531722,-0.010586210462889989,1.0206351749418854,0.0011316794633507933,2.2561628003949688e-06
